student_id,school,grade,passed_exam
S10000,Riverside,K,True
S10001,Riverside,K,True
S10002,Riverside,K,True
S10003,Riverside,K,True
S10004,Riverside,K,True
S10005,Riverside,K,False
S10006,Riverside,K,True
S10007,Riverside,K,True
S10008,Riverside,K,True
S10009,Riverside,K,True
S10010,Riverside,K,True
S10011,Riverside,K,False
S10012,Riverside,K,True
S10013,Riverside,K,True
S10014,Riverside,K,True
S10015,Riverside,K,True
S10016,Riverside,K,True
S10017,Riverside,K,True
S10018,Riverside,K,True
S10019,Riverside,K,True
S10020,Riverside,K,True
S10021,Riverside,K,True
S10022,Riverside,K,False
S10023,Riverside,K,True
S10024,Riverside,K,True
S10025,Riverside,K,True
S10026,Riverside,K,True
S10027,Riverside,K,True
S10028,Riverside,K,True
S10029,Riverside,K,True
S10030,Riverside,K,True
S10031,Riverside,K,False
S10032,Riverside,K,True
S10033,Riverside,K,True
S10034,Riverside,K,True
S10035,Riverside,K,True
S10036,Riverside,K,True
S10037,Riverside,K,True
S10038,Riverside,K,True
S10039,Riverside,K,True
S10040,Riverside,K,True
S10041,Riverside,K,True
S10042,Riverside,K,True
S10043,Riverside,K,True
S10044,Riverside,K,True
S10045,Riverside,K,True
S10046,Riverside,K,True
S10047,Riverside,K,True
S10048,Riverside,K,True
S10049,Riverside,K,True
S10050,Riverside,K,True
S10051,Riverside,K,True
S10052,Riverside,K,True
S10053,Riverside,K,True
S10054,Riverside,K,True
S10055,Riverside,K,True
S10056,Riverside,K,True
S10057,Riverside,K,True
S10058,Riverside,K,True
S10059,Riverside,K,True
S10060,Riverside,K,True
S10061,Riverside,K,True
S10062,Riverside,K,True
S10063,Riverside,K,True
S10064,Riverside,K,True
S10065,Riverside,K,True
S10066,Riverside,K,True
S10067,Riverside,K,True
S10068,Riverside,K,True
S10069,Riverside,K,True
S10070,Riverside,K,True
S10071,Riverside,K,True
S10072,Riverside,K,True
S10073,Riverside,K,True
S10074,Riverside,K,True
S10075,Riverside,K,True
S10076,Riverside,K,True
S10077,Riverside,K,True
S10078,Riverside,K,True
S10079,Riverside,K,True
S10080,Riverside,K,True
S10081,Riverside,K,True
S10082,Riverside,K,True
S10083,Riverside,K,True
S10084,Riverside,K,True
S10085,Riverside,1,True
S10086,Riverside,1,True
S10087,Riverside,1,True
S10088,Riverside,1,True
S10089,Riverside,1,True
S10090,Riverside,1,True
S10091,Riverside,1,True
S10092,Riverside,1,True
S10093,Riverside,1,True
S10094,Riverside,1,True
S10095,Riverside,1,True
S10096,Riverside,1,True
S10097,Riverside,1,True
S10098,Riverside,1,True
S10099,Riverside,1,False
S10100,Riverside,1,False
S10101,Riverside,1,True
S10102,Riverside,1,True
S10103,Riverside,1,False
S10104,Riverside,1,True
S10105,Riverside,1,True
S10106,Riverside,1,True
S10107,Riverside,1,True
S10108,Riverside,1,True
S10109,Riverside,1,False
S10110,Riverside,1,True
S10111,Riverside,1,True
S10112,Riverside,1,True
S10113,Riverside,1,True
S10114,Riverside,1,True
S10115,Riverside,1,True
S10116,Riverside,1,True
S10117,Riverside,1,True
S10118,Riverside,1,True
S10119,Riverside,1,True
S10120,Riverside,1,True
S10121,Riverside,1,True
S10122,Riverside,1,True
S10123,Riverside,1,True
S10124,Riverside,1,True
S10125,Riverside,1,True
S10126,Riverside,1,True
S10127,Riverside,1,True
S10128,Riverside,1,True
S10129,Riverside,1,True
S10130,Riverside,1,True
S10131,Riverside,1,False
S10132,Riverside,1,True
S10133,Riverside,1,True
S10134,Riverside,1,True
S10135,Riverside,1,True
S10136,Riverside,1,False
S10137,Riverside,1,True
S10138,Riverside,1,True
S10139,Riverside,1,True
S10140,Riverside,1,True
S10141,Riverside,1,True
S10142,Riverside,1,False
S10143,Riverside,1,True
S10144,Riverside,1,True
S10145,Riverside,1,True
S10146,Riverside,1,True
S10147,Riverside,1,True
S10148,Riverside,1,True
S10149,Riverside,1,True
S10150,Riverside,1,True
S10151,Riverside,1,False
S10152,Riverside,1,True
S10153,Riverside,1,True
S10154,Riverside,1,True
S10155,Riverside,1,True
S10156,Riverside,1,True
S10157,Riverside,1,True
S10158,Riverside,1,True
S10159,Riverside,1,True
S10160,Riverside,1,True
S10161,Riverside,1,False
S10162,Riverside,1,True
